N,family,compute_gops,compute_ms,d2h_ms,h2d_ms,required_total_ms,setup_ms
64,CUDA naive,68.8982336743,0.00760960001498,0.00445440001786,0.00981120020151,0.0301695998758,1.127389
128,CUDA naive,250.424150651,0.0167487999424,0.0103551996872,0.0210559997708,0.0566784001887,1.09867
256,CUDA naive,505.727789622,0.0663488000631,0.0250368002802,0.0501247994602,0.149772799015,1.379224
512,CUDA naive,311.478260299,0.861811208725,0.0878335997462,0.190297597647,1.15063040257,2.714775
768,CUDA naive,238.611997201,3.79683198929,0.18630400002,0.404544001818,4.39869441986,9.3351
1024,CUDA naive,375.061142514,5.72568950653,0.327468806505,0.697875201702,6.76151676178,6.694603
64,CUDA tiled,56.3411268934,0.00930560017005,0.00469119986519,0.0108672000468,0.0332224007696,0.782968
128,CUDA tiled,296.542985618,0.0141440000385,0.0117119999602,0.0206655997783,0.0548479996622,0.802858
256,CUDA tiled,683.289468193,0.0491071991622,0.0269888002425,0.0526399999857,0.13736320138,0.927157
512,CUDA tiled,473.296249213,0.567161595821,0.0854143992066,0.192236796021,0.855987203121,1.792961
768,CUDA tiled,370.390677386,2.44598398209,0.188928002119,0.410579198599,3.05626883507,6.932586
1024,CUDA tiled,584.953126123,3.67120637894,0.32764160037,0.692383992672,4.7012928009,8.322981
64,cuBLAS,55.0907862295,0.00951680010185,0.00824959995225,0.00995840001851,0.0363328002393,18.108955
128,cuBLAS,373.637400832,0.0112255999818,0.0136447999626,0.0262975998223,0.0595392003655,18.296981
256,cuBLAS,1287.86050321,0.0260543994606,0.0240063998848,0.0502080000937,0.108543999493,18.855592
512,cuBLAS,2510.95784434,0.106905600429,0.0871743991971,0.196454402804,0.401043200493,22.651111
768,cuBLAS,2451.25909291,0.369593596458,0.186963200569,0.406515192986,0.973203194141,31.11329
1024,cuBLAS,4043.04359385,0.531155204773,0.326592004299,0.699046421051,1.56698877811,22.116798
64,cuSPARSE,26.2648279731,0.0199616003782,0.00472959997132,0.0148607999086,0.0477824002504,6.120649
128,cuSPARSE,187.9437876,0.0223168004304,0.0148672003299,0.0279615994543,0.0734656006098,6.494337
256,cuSPARSE,652.505293582,0.0514239996672,0.0245824001729,0.0761855989695,0.160550400615,7.387648
512,cuSPARSE,441.78470947,0.607615995407,0.0866112008691,0.286643201113,0.991705584526,11.486772
768,cuSPARSE,338.046773766,2.68001275063,0.189343997836,0.618118405342,3.49855356216,27.823178
1024,cuSPARSE,503.178105553,4.26784000397,0.325996798277,1.0551615715,5.65871353149,25.408803
