N,data_type,method,iterations,warmup,cpu_threads,requested_zero_probability,nnz_a,actual_sparsity_a,h2d_ms,h2d_stdev_ms,compute_ms,compute_stdev_ms,d2h_ms,d2h_stdev_ms,total_gpu_ms,total_gpu_stdev_ms,total_wall_ms,total_wall_stdev_ms,launch_overhead_us,launch_overhead_stdev_us,setup_ms,compute_gops,end_to_end_gops,verified,max_abs_error,max_rel_error,checked_elements,device_name,compute_capability,notes
64,int,cpu_naive,5,2,2,0,3499,0.145751953125,0,0,0.2453726,0.0103947755262,0,0,0,0,0.2453726,0.0103947755262,0,0,0,2.1367014899,2.1367014899,1,0,0,4096,Tesla T4,7.5,Native scalar triple-loop CPU implementation.
64,int,cpu_blocked_mt,5,2,2,0,3499,0.145751953125,0,0,0.2194886,0.0391699255072,0,0,0,0,0.2194886,0.0391699255072,0,0,0,2.38867986766,2.38867986766,1,0,0,4096,Tesla T4,7.5,Native blocked multi-threaded CPU implementation using std::thread; no BLAS library.
64,int,cuda_naive,5,2,2,0,3499,0.145751953125,0.0140416001901,0.00321413860189,0.0117375999689,0.00140383371588,0.00992639996111,0.000335862479655,0.0451456002891,0.00467162267114,0.0520916,0.00464832905892,2.7296,0.329736015625,1.069626,44.6673937933,11.6132689928,1,0,0,4096,Tesla T4,7.5,Native CUDA one-thread-per-output-element kernel.
64,int,cuda_tiled_shared,5,2,2,0,3499,0.145751953125,0.013318400085,0.00343152231533,0.0171647997573,0.0105428920244,0.0103359997272,3.50541705302e-05,0.0504511997104,0.0103634671083,0.0576224,0.010527573711,10.7982,15.6017842364,0.737955,30.5443703051,10.3919828073,1,0,0,4096,Tesla T4,7.5,Native CUDA tiled kernel; 16x16 blocking and shared-memory reuse.
64,int,cublas_int_via_fp64,5,2,2,0,3499,0.145751953125,0.0157952001318,0.00118176652252,0.311750397086,0.324996817793,0.0104576000944,0.00296323449472,0.347980800271,0.323636011813,0.3594254,0.322678984223,184.691,325.356404045,27.459008,1.68175567666,1.50665783742,1,0,0,4096,Tesla T4,7.5,INT32 emulation through FP64 cuBLAS DGEMM. Exact only while integer sums remain below 2^53; input range is intentionally small.
64,int,cusparse_int_via_fp64,5,2,2,0,3499,0.145751953125,0.0194240000099,0.000842517952206,0.0225791998208,0.00113455234226,0.00916479993612,0.00229719875354,0.0606912001967,0.00332286368827,0.0678806,0.00327968136257,11.111,4.41152059952,7.658442,23.2199548329,8.63861644358,1,0,0,4096,Tesla T4,7.5,"INT32 emulation through FP64 cuSPARSE SpMM; integer values are converted to double. Host dense-to-CSR conversion is reported in setup_ms, not in CUDA-event total time."
128,int,cpu_naive,5,2,2,0,14025,0.143981933594,0,0,3.2481642,0.591162638464,0,0,0,0,3.2481642,0.591162638464,0,0,0,1.29128447386,1.29128447386,1,0,0,16384,Tesla T4,7.5,Native scalar triple-loop CPU implementation.
128,int,cpu_blocked_mt,5,2,2,0,14025,0.143981933594,0,0,0.7866106,0.0651864317864,0,0,0,0,0.7866106,0.0651864317864,0,0,0,5.33212239957,5.33212239957,1,0,0,16384,Tesla T4,7.5,Native blocked multi-threaded CPU implementation using std::thread; no BLAS library.
128,int,cuda_naive,5,2,2,0,14025,0.143981933594,0.0203775998205,0.00296737812591,0.0212480001152,0.00107835764254,0.0120063999668,7.12672741547e-05,0.0633600004017,0.00375887771862,0.0704334,0.00372177992901,2.7932,0.387374960471,1.11248,197.397589292,66.1979793783,1,0,0,16384,Tesla T4,7.5,Native CUDA one-thread-per-output-element kernel.
128,int,cuda_tiled_shared,5,2,2,0,14025,0.143981933594,0.0190656002611,0.000241509939509,0.0176768001169,0.000870635858978,0.0142911998555,0.00304989372865,0.0607808001339,0.00168947826145,0.068165,0.00151107127562,4.5814,2.78702297084,0.766862,237.277333695,69.0070547074,1,0,0,16384,Tesla T4,7.5,Native CUDA tiled kernel; 16x16 blocking and shared-memory reuse.
